competitor_id,name,brand,website,address,postcode,city,latitude,longitude,distance_walk_min,distance_bike_min,tier,segment,proposition_notes,last_checked_date
comp-166,Vlinder Yoga Haarlem e.o.,,,"Lambrecht van Dalelaan 64, 2015 EV Haarlem, Netherlands",,Amsterdam,52.384056,4.607248,25,8,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-182,Mom in Balance,,,"Wagenweg 146-150, 2012 NK Haarlem, Netherlands",,Amsterdam,52.370216,4.622748,24,8,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-025,Svaha Yoga Jordaan Studio,,,"Willemsstraat 133, 1015 JB Amsterdam, Netherlands",,Amsterdam,52.380912,4.882852,29,9,Tier 2,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-027,Ashtanga Vinyasa Yoga Shala,,,"Kraijenhoffstraat 135-B, 1018 RG Amsterdam, Netherlands",,Amsterdam,52.369053,4.929170,29,9,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-058,Critical Alignment Yoga & Therapy,,,"Blankenstraat 166, 1018 RG Amsterdam, Netherlands",,Amsterdam,52.369261,4.929045,29,9,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-062,BECOME yoga Amsterdam - Centrum (formally Bikram Yoga Amsterdam),,,"Korte Prinsengracht 91 - Links, 1013 EP Amsterdam, Netherlands",,Amsterdam,52.381224,4.889456,29,9,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-066,YOGI,,,"Brouwersgracht 156, 1013 HA Amsterdam, Netherlands",,Amsterdam,52.380575,4.889329,28,9,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-082,Thrive Yoga Celebes,,,"Celebesstraat 6, 1094 EJ Amsterdam, Netherlands",,Amsterdam,52.365565,4.932063,30,9,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-150,L&L Pilates Reformer Studio,,,"Rijksstraatweg 96, 2022 DD Haarlem, Netherlands",,Amsterdam,52.403732,4.648050,27,9,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-198,Blue Rose - Nadi Rama NRGY School - Kundalini trainingscentrum.,,,"Bispinckpark 1, 2061 SG Bloemendaal, Netherlands",,Amsterdam,52.401343,4.618073,27,9,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-075,"Carolina Dorell Somaexperience - Yoga, Cacao ceremonies & Sound meditation",,,"Willem de Zwijgerlaan, 1055 RC Amsterdam, Netherlands",,Amsterdam,52.381850,4.857604,30,10,Tier 2,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-102,Thrive Yoga East,,,"Tweede Atjehstraat 55, 1094 LD Amsterdam, Netherlands",,Amsterdam,52.362428,4.934625,31,10,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-114,B Well Studio,,,"Johan Huizingalaan 763A, 1066 VH Amsterdam, Netherlands",,Amsterdam,52.343071,4.828952,32,10,Tier 2,yoga studio,nearest_location=Amsterdam LABzuid,2026-01-18
comp-146,Studio Blitz Movement,,,"Tetterodeweg 15, 2051 EG Overveen, Netherlands",,Amsterdam,52.391978,4.601311,31,10,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-179,ZwangerFit Haarlem,,,"Van Nesstraat 80, 2024 DR Haarlem, Netherlands",,Amsterdam,52.406485,4.645630,30,10,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-199,Jouwmoment.nu - Hanke,,,"xxx, 2034 JC Haarlem, Netherlands",,Amsterdam,52.362402,4.641318,32,10,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-081,Uprising Yoga & Lifestyle,,,"Welnastraat 845, 1096 GJ Amsterdam, Netherlands",,Amsterdam,52.339818,4.918532,35,11,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-087,Balanzs,,,"Prinseneiland 20G, 1013 LR Amsterdam, Netherlands",,Amsterdam,52.385788,4.886513,35,11,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-147,Yoga Studio BE,,,"Rijksstraatweg 250A, 2022 DJ Haarlem, Netherlands",,Amsterdam,52.409023,4.650882,35,11,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-065,Club Hot Yogi,,,"Assendelftstraat 4-A, 1013 SP Amsterdam, Netherlands",,Amsterdam,52.389085,4.879146,39,12,Tier 2,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-076,Tula Yoga Amsterdam,,,"Houtrijkstraat 38, 1013 VD Amsterdam, Netherlands",,Amsterdam,52.389055,4.878888,39,12,Tier 2,yoga studio,nearest_location=Amsterdam Vondelpark,2026-01-18
comp-078,Yoga School North,,,"Nachtegaalstraat 157, 1021 EZ Amsterdam, Netherlands",,Amsterdam,52.385420,4.915110,37,12,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-090,Heldhaftig Yoga,,,"Veemkade 1288, 1165 HA Amsterdam, Netherlands",,Amsterdam,52.374095,4.938771,39,12,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-163,Sluis Gym Haarlem,,,"Surinamepad 240, 2035 VS Haarlem, Netherlands",,Amsterdam,52.360856,4.653155,37,12,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-160,Yogapraktijk Heemstede,,,"OrchideeÃ«nlaan 26, 2106 BJ Heemstede, Netherlands",,Amsterdam,52.360517,4.610800,41,13,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-169,SensusYoga,,,"Bloemendaalsestraatweg 81, 2082 GC Santpoort-Zuid, Netherlands",,Amsterdam,52.415015,4.628758,42,13,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-177,Jojamis yogavakantie,,,"Boedapeststraat 30, 2034 CZ Haarlem, Netherlands",,Amsterdam,52.356851,4.649519,41,13,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-084,Rumah Yoga,,,"Distelweg 74C, 1031 HH Amsterdam, Netherlands",,Amsterdam,52.392763,4.905740,44,14,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-109,Urban Yoga School,,,"Zamenhofstraat 108, Unit 207, 1022 AG Amsterdam, Netherlands",,Amsterdam,52.387035,4.930320,45,14,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-116,Yoga Zeeburg,,,"Cruquiusweg 96F, 1019 AJ Amsterdam, Netherlands",,Amsterdam,52.367563,4.950173,45,14,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-185,EVA'Z yoga & pilates,,,"Blekersvaartweg 19B, 2101 CB Heemstede, Netherlands",,Amsterdam,52.352628,4.618111,48,15,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-064,HAVEN Hot yoga & pilates,,,"Nieuwendammerkade 28D, 2, 1022 AB Amsterdam, Netherlands",,Amsterdam,52.390506,4.935187,51,16,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-089,Stretch and Fold,,,"Papaverhof 71C, 1032 LX Amsterdam, Netherlands",,Amsterdam,52.396559,4.907499,50,16,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-197,YogalifeByJerien,,,"Watergang 4, 2064 SR Spaarndam, Netherlands",,Amsterdam,52.409182,4.678723,49,16,Tier 2,yoga studio,nearest_location=Haarlem,2026-01-18
comp-088,Yurt Yoga,,,"Oude Haagseweg 58, 1066 BW Amsterdam, Netherlands",,Amsterdam,52.334491,4.807068,53,17,Tier 2,yoga studio,nearest_location=Amsterdam LABzuid,2026-01-18
comp-098,Space to be yoga studio,,,"Oude Haagseweg 58, 1066 BW Amsterdam, Netherlands",,Amsterdam,52.334491,4.807068,53,17,Tier 2,yoga studio,nearest_location=Amsterdam LABzuid,2026-01-18
comp-104,Svaha Yoga Amsterdam North / Noord,,,"Nieuwendammerkade 24b, 1022 AB Amsterdam, Netherlands",,Amsterdam,52.390476,4.937399,53,17,Tier 2,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-071,De YogaZaak,,,"Spyridon Louisweg 151, 1034 WR Amsterdam, Netherlands",,Amsterdam,52.402375,4.916439,59,19,Tier 3,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-136,Yoga / Pilates Studio NIYANG,,,"Zijdewinde 14, 2141 XE Vijfhuizen, Netherlands",,Amsterdam,52.349349,4.681110,63,20,Tier 3,yoga studio,nearest_location=Haarlem,2026-01-18
comp-151,Yogaschool RoxZEN,,,"Hoofdstraat 224, 2071 EM Santpoort-Noord, Netherlands",,Amsterdam,52.429392,4.643917,62,20,Tier 3,yoga studio,nearest_location=Haarlem,2026-01-18
comp-168,Studio-Yoga,,,"Baarsjesweg 1, 2141 VJ Vijfhuizen, Netherlands",,Amsterdam,52.351755,4.683313,62,20,Tier 3,yoga studio,nearest_location=Haarlem,2026-01-18
comp-170,Fiona Yoga Massage,,,"Frans Netscherlaan 12A, 2071 AZ Santpoort-Noord, Netherlands",,Amsterdam,52.429548,4.637905,61,20,Tier 3,yoga studio,nearest_location=Haarlem,2026-01-18
comp-174,Yogapraktijk Lida van Gijlswijk,,,"Liniepad 43, 1991 AV Velserbroek, Netherlands",,Amsterdam,52.421208,4.681453,63,20,Tier 3,yoga studio,nearest_location=Haarlem,2026-01-18
comp-159,Yogastudio Santpoort,,,"Burgemeester Weertsplantsoen 112, 2071 PK Santpoort-Noord, Netherlands",,Amsterdam,52.433202,4.643585,67,21,Tier 3,yoga studio,nearest_location=Haarlem,2026-01-18
comp-164,Joy Yoga & coaching,,,"Linie 26, 1991 AT Velserbroek, Netherlands",,Amsterdam,52.424608,4.679437,66,21,Tier 3,yoga studio,nearest_location=Haarlem,2026-01-18
comp-050,YogaZentrum Nada,,,"Zuidermolenweg 7, 1069 CE Amsterdam, Netherlands",,Amsterdam,52.359707,4.785360,70,22,Tier 3,yoga studio,nearest_location=Amsterdam LABzuid,2026-01-18
comp-086,I Feel Good Yoga Space,,,"H. Cleyndertweg 603, 1025 DW Amsterdam, Netherlands",,Amsterdam,52.403488,4.937904,68,22,Tier 3,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-077,Karishma Yoga,,,"Emanzana 54, 1103 AV Amsterdam, Netherlands",,Amsterdam,52.323590,4.965864,78,25,Tier 3,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-083,Thrive Yoga IJburg,,,"IJburglaan 961, 1087 EN Amsterdam, Netherlands",,Amsterdam,52.355990,4.994365,82,26,Tier 3,yoga studio,nearest_location=Amsterdam City,2026-01-18
comp-187,Yogastudio Zwanenburg,,,"Domineeslaan 91, 1161 BW Zwanenburg, Netherlands",,Amsterdam,52.380052,4.739449,88,28,Tier 3,yoga studio,nearest_location=Haarlem,2026-01-18
comp-189,Back to Heart yoga and More,,,"Leidsevaart 34-36, 2114 AC Vogelenzang, Netherlands",,Amsterdam,52.323930,4.587533,95,30,Tier 3,yoga studio,nearest_location=Haarlem,2026-01-18
comp-192,timelezz,,,"Haarlemmerstraat 5, 2182 HA Hillegom, Netherlands",,Amsterdam,52.311472,4.588359,110,35,Tier 3,yoga studio,nearest_location=Haarlem,2026-01-18
comp-194,Inner Yoga,,,"Schuilenburg 29, 2135 GJ Hoofddorp, Netherlands",,Amsterdam,52.304071,4.657215,114,37,Tier 3,yoga studio,nearest_location=Haarlem,2026-01-18
comp-195,My Yoga Studio,,,"Zwartepad 2, 2271 BT Voorburg, Netherlands",,Amsterdam,52.066949,4.361505,501,160,Tier 3,yoga studio,nearest_location=Haarlem,2026-01-18
comp-186,Hot Yoga The Hague,,,"Turfhaven 3, 2511 DK Den Haag, Netherlands",,Amsterdam,52.077755,4.319143,506,162,Tier 3,yoga studio,nearest_location=Haarlem,2026-01-18
comp-200,Yoga Moves HOT Central,,https://yogamoves.nl,"Servaasbolwerk 15, 3512 NK Utrecht",3512 NK,Utrecht,52.092876,5.104480,,,Tier 3,hot yoga,Bikram-style Original Hot 38C 60-90min,2026-02-02
comp-201,Equal Yoga,,https://equalyoga.com,"Oudegracht, Utrecht",,Utrecht,52.092876,5.104480,,,Tier 3,yoga studio,Hot yoga classes,2026-02-02
comp-202,YG Studios,,https://ygstudios.nl,"Lijnbaan 31, 3012 EK Rotterdam",3012 EK,Rotterdam,51.9225,4.47917,,,Tier 3,hot yoga,Bikram Hot 26 and Hot Flow near Central Station,2026-02-02
comp-203,Hot Yoga Place,,,"Moltzerhof 2, Rotterdam",,Rotterdam,51.9225,4.47917,,,Tier 3,hot yoga,Hot yoga vinyasa flow restorative,2026-02-02
comp-204,Balanzs Rotterdam Mariniersweg,,https://balanzs.nl,"Mariniersweg 151, Rotterdam",,Rotterdam,51.9225,4.47917,,,Tier 3,yoga studio,Hot yoga plus variety of styles,2026-02-02
comp-205,Balanzs Rotterdam Kleiweg,,https://balanzs.nl,"Kleiweg 16, Rotterdam",,Rotterdam,51.9225,4.47917,,,Tier 3,yoga studio,Hot yoga plus variety of styles,2026-02-02
comp-206,Soul Studio 010,,,"Jonker Fransstraat 134, Rotterdam",,Rotterdam,51.9225,4.47917,,,Tier 3,boutique,Hot yin yoga women only,2026-02-02
comp-207,Kompassie Yoga,,,"Achterhaven 152, Rotterdam",,Rotterdam,51.9225,4.47917,,,Tier 3,yoga studio,Warm yoga Yin Aerial Vinyasa,2026-02-02
comp-208,Hot Yoga The Hague,,https://hotyogathehague.com,"Spuiplein 150, 2511 DG Den Haag",2511 DG,Den Haag,52.077106,4.317541,,,Tier 3,hot yoga,Bikram Inferno Hot Pilates Warm Yin 5-10min from station,2026-02-02
comp-209,Bikram Yoga Haag,,https://bikramnl.com,"Prins Hendrikplein, Den Haag",,Den Haag,52.077106,4.317541,,,Tier 3,hot yoga,Traditional Bikram 26 postures 40C,2026-02-02
comp-210,Yogaseads,,https://yogaseads.nl,"Near beach, Den Haag",,Den Haag,52.077106,4.317541,,,Tier 3,yoga studio,Hot Studio FAR-infrared heat,2026-02-02
comp-211,Balanzs Den Haag,,https://balanzs.nl,"Multiple locations, Den Haag",,Den Haag,52.077106,4.317541,,,Tier 3,yoga studio,Wide range of yoga styles,2026-02-02
