offer_id,competitor_id,offer_type,offer_name,class_type,heat,class_length_min,sessions_included,duration_days,price_eur,price_unit,currency,auto_renew,contract_months,booking_limit,intro_restrictions,usage_limit_type,usage_limit_value,usage_limit_period,contract_type,cancellation_notice_days,class_style,intensity_level,source_url,last_checked_date
auto-0001,comp-010,unknown,y Book your first class Build your mobility routine Starter EUR 20 off 1st month 4 classes/month EUR,,,,4,,20,,EUR,,,,,classes_per_month,4,month,,,,,https://revive-studio.nl/,2026-02-02
auto-0002,comp-010,unknown,mobility routine Starter EUR 20 off 1st month 4 classes/month EUR 50/first month Renews at EUR 70/mo,,,,4,,50,,EUR,,,,,classes_per_month,70,month,,,,,https://revive-studio.nl/,2026-02-02
auto-0003,comp-010,unknown,EUR 20 off 1st month 4 classes/month EUR 50/first month Renews at EUR 70/month Subscribe ✓ Freeze up,,,,4,,70,,EUR,,,,,classes_per_month,70,month,,,,,https://revive-studio.nl/,2026-02-02
auto-0004,comp-010,membership,Membership,,,,4,,50,,EUR,,1,,,unlimited,,,month_to_month,30,,,https://revive-studio.nl/,2026-02-02
