query,rank,website,title,snippet,price_snippets,class_keywords,offer_keywords,postcode_guess,phone_guess
yoga studio Amsterdam,1,https://www.yogaden.nl/,Home - Yoga Den Amsterdam,"Welcome to Yoga Den, a warm and welcoming studio offering classes led by the best teachers in the Netherlands. Our instructors, known for their expertise and highest teaching calibre, create an inspiring space for all levels to grow, connect, and deepen their practice. Join us today!",,vinyasa | yin | ashtanga | pilates,trial | membership | unlimited | class pack,1075 SJ,
yoga studio Amsterdam,2,https://www.yourlittleblackbook.me/en/yoga-in-amsterdam/,Best yoga in Amsterdam // Your Little Black Book,Looking for the best yoga in Amsterdam ? We've compiled a comprehensive list of the best yoga schools.,"€20 | € 6,99 | € 43,50 | € 35,50 | € 33,50",hot yoga | bikram | vinyasa | hatha | yin | ashtanga | pilates | barre,bundle,,02084475185
hot yoga Amsterdam,1,https://hotflowyoga.nl/,Hot Flow Yoga Amsterdam,"This October, we're bringing our transformative heated yoga practice to the vibrant center of Amsterdam at Oudeschans 5a. Located in the historic heart of the city, Hot Flow Yoga City will offer the same exceptional classes and welcoming community you love, now in one of Amsterdam's most dynamic neighborhoods. Whether you're a seasoned practitioner or new to heated yoga , our brand new ...",,hot yoga | yin | pilates,membership,1011KW,00000069
hot yoga Amsterdam,2,https://www.havenyoga.nl/,HAVEN hot yoga & pilates Amsterdam,"HAVEN is de eerste hot yoga & hot pilates studio in Amsterdam Noord. Ervaar intensieve, verwarmde workouts in een serene, moderne ruimte. Ontsnap aan de drukte, bouw kracht op en vind balans. Jouw oase voor beweging en ontspanning",,hot yoga | vinyasa | yin | pilates | barre,single class | intro | trial | membership | class pack | 10 class | bundle,1022 AB,02174924
